School Name,City,State,District Name,2010/11/Award Amount,Model Selected
RAMIREZ THOMAS ELEM,SANTA FE,NM,SANTA FE PUBLIC SCHOOLS,125.00,Turnaround
NEWCOMB HIGH,NEWCOMB,NM,CENTRAL CONSOLIDATED SCHOOLS,15.00,Transformation
DIBE YAZHI HABLTI'N O'LT'A INC,CROWNPOINT,NM,DIBE YAZHI HABLTI'N O'LT'A INC,,Transformation
LYBROOK ELEMENTARY,CUBA,NM,JEMEZ MOUNTAIN PUBLIC SCHOOLS,500000.00,Transformation
NASCHITTI ELEMENTARY,SHEEP SPRINGS,NM,CENTRAL CONSOLIDATED SCHOOLS,500000.00,Transformation
OJO ENCINO DAY SCHOOL,CUBA,NM,OJO ENCINO DAY SCHOOL,,Transformation
ECHO LODER ELEMENTARY SCHOOL,RENO,NV,WASHOE COUNTY SCHOOL DISTRICT,424326.00,Transformation
RANCHO HIGH SCHOOL,NORTH LAS VEGAS,NV,CLARK COUNTY SCHOOL DISTRICT,100202.00,Transformation
WILLIAM O'BRIEN MIDDLE SCHOOL,RENO,NV,WASHOE COUNTY SCHOOL DISTRICT,494913.00,Transformation
KIT CARSON ELEMENTARY SCHOOL,LAS VEGAS,NV,CLARK COUNTY SCHOOL DISTRICT,763905.00,Turnaround
GLENN DUNCAN ELEMENTARY SCHOOL,RENO,NV,WASHOE COUNTY SCHOOL DISTRICT,505777.00,Turnaround
ARCHIE CLAYTON MIDDLE SCHOOL,RENO,NV,WASHOE COUNTY SCHOOL DISTRICT,477071.00,Transformation
VETERANS MEMORIAL ELEMENTARY SCHOOL,RENO,NV,WASHOE COUNTY SCHOOL DISTRICT,427337.00,Transformation
GEORGE L DILWORTH MIDDLE SCHOOL,SPARKS,NV,WASHOE COUNTY SCHOOL DISTRICT,576840.00,Transformation
EAGLE VALLEY MIDDLE SCHOOL,CARSON CITY,NV,CARSON CITY SCHOOL DISTRICT,654043.00,Transformation
SMITHRIDGE ELEMENTARY SCHOOL,RENO,NV,WASHOE COUNTY SCHOOL DISTRICT,567154.00,Turnaround
SOUTH PARK HIGH SCHOOL,BUFFALO,NY,BUFFALO CITY SCHOOL DISTRICT,2.00,Transformation
WILLIAM E GRADY VOCATIONAL HIGH SCHOOL,BROOKLYN,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #21,136581.00,Transformation
LONG ISLAND CITY HIGH SCHOOL,LONG ISLAND CITY,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #30,18.00,Transformation
ROOSEVELT HIGH SCHOOL,YONKERS,NY,YONKERS CITY SCHOOL DISTRICT,2.00,Transformation
Robert Brown High School of Construction and Design,Rochester,NY,Rochester City School District,178685.00,Turnaround
BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,NEW YORK,NY,NEW YORK CITY GEOGRAPHIC DISTRICT # 5,850510.00,Transformation
DELAWARE ELEMENTARY SCHOOL,SYRACUSE,NY,SYRACUSE CITY SCHOOL DISTRICT,2.00,Transformation
INTERNATIONAL SCHOOL,BUFFALO,NY,BUFFALO CITY SCHOOL DISTRICT,2.00,Transformation
FRANKLIN D ROOSEVELT HIGH SCHOOL,BROOKLYN,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #20,18.00,Transformation
QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,LONG ISLAND CITY,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #24,130051.00,Transformation
EMERSON MIDDLE SCHOOL,YONKERS,NY,YONKERS CITY SCHOOL DISTRICT,2.00,Turnaround
Vanguard Collegiate High School,Rochester,NY,Rochester City School District,122114.00,Turnaround
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,NEW YORK,NY,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,959246.00,Transformation
GLOBAL MEDIA ARTS HS AT FRANKLIN,ROCHESTER,NY,ROCHESTER CITY SCHOOL DISTRICT,137761.00,Turnaround
DR MARTIN LUTHER KING JR MULTICULTURAL INSTITUTE,BUFFALO,NY,BUFFALO CITY SCHOOL DISTRICT,188422.00,Transformation
FLUSHING HIGH SCHOOL,FLUSHING,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #25,18.00,Transformation
COBBLE HILL SCHOOL OF AMERICAN STUDIES,BROOKLYN,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #15,994888.00,Transformation
HUGHES ELEMENTARY SCHOOL,SYRACUSE,NY,SYRACUSE CITY SCHOOL DISTRICT,2.00,Transformation
UNITY CENTER FOR URBAN TECHNOLOGIES,NEW YORK,NY,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,757113.00,Transformation
EAST HIGH SCHOOL,ROCHESTER,NY,ROCHESTER CITY SCHOOL DISTRICT,19525.00,Transformation
BENNETT HIGH SCHOOL,BUFFALO,NY,BUFFALO CITY SCHOOL DISTRICT,2.00,Transformation
AUTOMOTIVE HIGH SCHOOL,BROOKLYN,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #14,117372.00,Transformation
Rochester STEM High School,Rochester,NY,Rochester City School District,185579.00,Turnaround
SCHOOL FOR GLOBAL STUDIES,BROOKLYN,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #15,890934.00,Transformation
GEORGE FOWLER HIGH SCHOOL,SYRACUSE,NY,SYRACUSE CITY SCHOOL DISTRICT,2.00,Transformation
WOODLAND HILLS SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,723790.00,Turnaround
CRITTENTON COMMUNITY SCHOOL,COLUMBUS,OH,CRITTENTON COMMUNITY SCHOOL,246750.00,Transformation
EAST HIGH SCHOOL,YOUNGSTOWN,OH,YOUNGSTOWN CITY SCHOOLS,805793.00,Transformation
FRANKLIN D. ROOSEVELT,CLEVELAND,OH,CLEVELAND MUNICIPAL,725800.00,Turnaround
DUNBAR HIGH SCHOOL,DAYTON,OH,DAYTON CITY,350537.00,Transformation
GLENVILLE HIGH SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,691110.00,Turnaround
WEST HIGH SCHOOL,COLUMBUS,OH,COLUMBUS CITY,948140.00,Transformation
WOODWARD CAREER TECHNICAL HIGH SCHOOL,CINCINNATI,OH,CINCINNATI CITY,2.00,Transformation
CHAMPION MIDDLE SCHOOL,COLUMBUS,OH,COLUMBUS CITY,104115.00,Transformation
ROTHENBERG PREPARATORY ACADEMY,CINCINNATI,OH,CINCINNATI CITY,949658.00,Transformation
KEIFER ALTERNATIVE CENTER,SPRINGFIELD,OH,SPRINGFIELD CITY,1657.00,Transformation
LINCOLN-WEST HIGH SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,109111.00,Turnaround
BELMONT HIGH SCHOOL,DAYTON,OH,DAYTON CITY,350537.00,Transformation
EAST TECHNICAL HIGH SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,109111.00,Turnaround
WEINLAND PARK ELEMENTARY SCHOOL,COLUMBUS,OH,COLUMBUS CITY,825100.00,Transformation
VIRTUAL HIGH SCHOOL,CINCINNATI,OH,CINCINNATI CITY,797726.00,Transformation
BELLEFAIRE,UNIVERSITY HTS,OH,CLEVELAND HEIGHTS-UNIVERSITY HEIGHTS CITY,712097.00,Transformation
GEORGE HAYS - JENNIE PORTER,CINCINNATI,OH,CINCINNATI CITY,108635.00,Transformation
PATRICK HENRY SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,451750.00,Transformation
PROGRESSIVE ACADEMY,LIMA,OH,LIMA CITY,175685.00,Transformation
LUIS MUNOZ MARIN SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,451750.00,Transformation
ALUM CREST HIGH SCHOOL,COLUMBUS,OH,COLUMBUS CITY,774900.00,Transformation
COLLINWOOD HIGH SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,109111.00,Turnaround
SOUTHMOOR MIDDLE SCHOOL,COLUMBUS,OH,COLUMBUS CITY,1264.00,Transformation
WILLIAM H TAFT ELEMENTARY SCHOOL,CINCINNATI,OH,CINCINNATI CITY,100268.00,Transformation
MARTIN LUTHER KING JR CAREER CAMPUS,CLEVELAND,OH,CLEVELAND MUNICIPAL,584250.00,Transformation
SCHOLARTS PREPARATORY AND CAREER CENTER FOR CHILDR,COLUMBUS,OH,SCHOLARTS PREPARATORY AND CAREER CENTER FOR CHILDREN,500000.00,Transformation
ODYSSEY: SCHOOL OF POSSIBILITIES,YOUNGSTOWN,OH,YOUNGSTOWN CITY SCHOOLS,913139.00,Transformation
MARY B MARTIN SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,723790.00,Turnaround
MEADOWDALE HIGH SCHOOL,DAYTON,OH,DAYTON CITY,350537.00,Transformation
JOHN F KENNEDY HIGH SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,109111.00,Turnaround
WELCOME CENTER HIGH,COLUMBUS,OH,COLUMBUS CITY,1036.00,Transformation
CARL & LOUIS STOKES CENTRAL ACADEMY,CLEVELAND,OH,CLEVELAND MUNICIPAL,451750.00,Transformation
LINDEN-MCKINLEY HIGH SCHOOL,COLUMBUS,OH,COLUMBUS CITY,14775.00,Transformation
SOUTH AVONDALE ELEMENTARY SCHOOL,CINCINNATI,OH,CINCINNATI CITY,994001.00,Transformation
GILCREASE MS,TULSA,OK,TULSA,158356.00,Transformation
CLINTON MS,TULSA,OK,TULSA,113967.00,Transformation
F.D. MOON ACADEMY,OKLAHOMA CITY,OK,OKLAHOMA CITY,152716.00,Transformation
WILL ROGERS HS,TULSA,OK,TULSA,117124.00,Transformation
CENTRAL HS,TULSA,OK,TULSA,858523.00,Transformation
CRUTCHO PUBLIC SCHOOL,OKLAHOMA CITY,OK,CRUTCHO,973201.00,Transformation
NATHAN HALE HS,TULSA,OK,TULSA,103708.00,Transformation
DOUGLASS MS,OKLAHOMA CITY,OK,OKLAHOMA CITY,11395.00,Transformation
EAST CENTRAL HS,TULSA,OK,TULSA,107752.00,Transformation
U. S. GRANT HS,OKC,OK,OKLAHOMA CITY,173743.00,Turnaround
SPANISH-ENGLISH INTERNATIONAL SCHOOL,PORTLAND,OR,PORTLAND SD 1J,766667.00,Transformation
ONTARIO HIGH SCHOOL,ONTARIO,OR,ONTARIO SD 8C,11704.00,Transformation
HALLMAN ELEMENTARY SCHOOL,SALEM,OR,SALEM-KEIZER SD 24J,950000.00,Transformation
EAGLERIDGE HIGH SCHOOL,KLAMATH FALLS,OR,KLAMATH FALLS CITY SCHOOLS,617966.00,Transformation
MCKAY HIGH SCHOOL,SALEM,OR,SALEM-KEIZER SD 24J,19015.00,Transformation
ARTS COMMUNICATION & TECHNOLOGY SCHOOL,PORTLAND,OR,PORTLAND SD 1J,766667.00,Transformation
MADRAS HIGH SCHOOL,MADRAS,OR,JEFFERSON COUNTY SD 509J,118595.00,Transformation
ROBERTS HIGH SCHOOL,SALEM,OR,SALEM-KEIZER SD 24J,616667.00,Transformation
PURSUIT OF WELLNESS EDUCATION AT ROOSEVELT CAMPUS,PORTLAND,OR,PORTLAND SD 1J,119072.00,Transformation
OREGON CITY SERVICE LEARNING ACADEMY,OREGON CITY,OR,OREGON CITY SD 62,441740.00,Transformation
MARSHALL HIGH SCHOOL,BEND,OR,BEND-LAPINE ADMINISTRATIVE SD 1,747268.00,Transformation
EARLY COLLEGE HIGH SCHOOL,SALEM,OR,SALEM-KEIZER SD 24J,616667.00,Transformation
SAYRE WILLIAM L MS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,737032.00,Transformation
CENTRAL DAUPHIN EAST SHS,HARRISBURG,PA,CENTRAL DAUPHIN SD,699963.00,Transformation
KING MARTIN LUTHER HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,786964.00,Transformation
DOUGLAS STEPHEN A SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,319320.00,Restart
PARK LANE EL SCH,DARBY,PA,WILLIAM PENN SD,283200.00,Transformation
FRANCIS D RAUB MS,ALLENTOWN,PA,ALLENTOWN CITY SD,500000.00,Transformation
LOCKE ALAIN SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,390938.00,Transformation
ALCORN JAMES SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,338726.00,Transformation
STEELTON-HIGHSPIRE HS,STEELTON,PA,STEELTON-HIGHSPIRE SD,280500.00,Turnaround
PERSEUS HOUSE CS OF EXCELLENCE,ERIE,PA,PERSEUS HOUSE CS OF EXCELLENCE,686000.00,Transformation
GERMANTOWN HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,798792.00,Transformation
MOUNT UNION AREA SHS,MOUNT UNION,PA,MOUNT UNION AREA SD,848867.00,Transformation
ROONEY ARTHUR J MS,PITTSBURGH,PA,PITTSBURGH SD,208773.00,Closure
ROXBOROUGH HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,641440.00,Transformation
HAND MS,LANCASTER,PA,LANCASTER SD,551611.00,Turnaround
LANGLEY HS,PITTSBURGH,PA,PITTSBURGH SD,312714.00,Transformation
TREXLER MS,ALLENTOWN,PA,ALLENTOWN CITY SD,250000.00,Transformation
UNIVERSITY CITY HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,923999.00,Turnaround
SMEDLEY FRANKLIN SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,362773.00,Restart
PENN WOOD HS - GREEN AVE CAMPUS,LANSDOWNE,PA,WILLIAM PENN SD,626150.00,Transformation
HARRISON-MORTON MS,ALLENTOWN,PA,ALLENTOWN CITY SD,350000.00,Transformation
WEST PHILADELPHIA HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,671142.00,Transformation
HARRITY WILLIAM F SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,980283.00,Restart
ACADEMY PARK HS,SHARON HILL,PA,SOUTHEAST DELCO SD,958375.00,Transformation
WEST PHILA. ACHIEVEMENT CES,PHILADELPHIA,PA,WEST PHILA. ACHIEVEMENT CES,318875.00,Transformation
FRANKFORD HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,792001.00,Transformation
MCKEESPORT AREA SHS,MC KEESPORT,PA,MCKEESPORT AREA SD,112.00,Transformation
OLIVER HS,PITTSBURGH,PA,PITTSBURGH SD,542588.00,Transformation
VAUX ROBERTS HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,466665.00,Turnaround
CAREER TECHNOLOGY ACADEMY,HARRISBURG,PA,HARRISBURG CITY SD,300000.00,Closure
CLEMENTE ROBERTO MS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,333327.00,Turnaround
FELS SAMUEL HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,974132.00,Transformation
LOUIS E DIERUFF HS,ALLENTOWN,PA,ALLENTOWN CITY SD,500000.00,Transformation
ALLEN DR ETHEL SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,247020.00,Turnaround
FELTONVILLE INTERMEDIATE SCHOOL,PHILADELPHIA,PA,PHILADELPHIA CITY SD,244855.00,Transformation
PENN WOOD MS,DARBY,PA,WILLIAM PENN SD,287500.00,Transformation
CENTRAL EL SCH,ALLENTOWN,PA,ALLENTOWN CITY SD,650000.00,Transformation
SOUTH PHILADELPHIA HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,579958.00,Transformation
OLNEY HS WEST,PHILADELPHIA,PA,PHILADELPHIA CITY SD,272245.00,Transformation
BRASHEAR HS,PITTSBURGH,PA,PITTSBURGH SD,267754.00,Transformation
EDISON HS/FAREIRA SKILLS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,1.00,Transformation
MCCASKEY CAMPUS,LANCASTER,PA,LANCASTER SD,616432.00,Transformation
WESTINGHOUSE HS,PITTSBURGH,PA,PITTSBURGH SD,606437.00,Transformation
STETSON JOHN B MS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,888708.00,Restart
DUQUESNE CONSOLIDATED SCH,DUQUESNE,PA,DUQUESNE CITY SD,523313.00,Transformation
DAROFF SAMUEL SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,658247.00,Restart
BLUFORD GUION EL SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,907129.00,Restart
WILLIAM ALLEN HS,ALLENTOWN,PA,ALLENTOWN CITY SD,350000.00,Transformation
CLYMER GEORGE SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,392068.00,Transformation
MANN WILLIAM B SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,794021.00,Restart
TURKEYFOOT VALLEY AREA JSHS,CONFLUENCE,PA,TURKEYFOOT VALLEY AREA SD,286500.00,Transformation
PHILADELPHIA MONTESSORI CS,PHILADELPHIA,PA,PHILADELPHIA MONTESSORI CS,305763.00,Transformation
GRATZ SIMON HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,508486.00,Transformation
PENN HILLS SHS,PITTSBURGH,PA,PENN HILLS SD,109958.00,Transformation
KING M L EL SCH,PITTSBURGH,PA,PITTSBURGH SD,234233.00,Transformation
LINCOLN HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,14.00,Transformation
PERRY TRADITIONAL ACADEMY,PITTSBURGH,PA,PITTSBURGH SD,320412.00,Transformation
REYNOLDS MS,LANCASTER,PA,LANCASTER SD,531891.00,Transformation
CHARLOTTE WOODS ELEMENTARY SCHOOL,PROVIDENCE,RI,PROVIDENCE,,
LILLIAN FEINSTEIN ELEMENTARY SACKETT STREET,PROVIDENCE,RI,PROVIDENCE,,
ROGER WILLIAMS MIDDLE SCHOOL,PROVIDENCE,RI,PROVIDENCE,,
FEINSTEIN HIGH SCHOOL,PROVIDENCE,RI,PROVIDENCE,,
WILLIAM B. COOLEY/HEALTH AND SCIENCE TECH. ACADEMY,PROVIDENCE,RI,PROVIDENCE,,
CENTRAL FALLS SENIOR HIGH SCHOOL,CENTRAL FALLS,RI,CENTRAL FALLS,,
RIDGELAND MIDDLE,RIDGELAND,SC,JASPER 01,573338.00,Transformation
J V MARTIN JR HIGH,DILLON,SC,DILLON 02,908486.00,Transformation
DENMARK-OLAR MIDDLE,DENMARK,SC,BAMBERG 02,571626.00,Transformation
KINGSTREE JR HIGH,KINGSTREE,SC,WILLIAMSBURG 01,639839.00,Transformation
EAU CLAIRE HIGH,COLUMBIA,SC,RICHLAND 01,717125.00,Transformation
ESTILL HIGH,ESTILL,SC,HAMPTON 02,502925.00,Transformation
MANNING JUNIOR HIGH,MANNING,SC,CLARENDON 02,672451.00,Transformation
DENMARK OLAR HIGH,DENMARK,SC,BAMBERG 02,571626.00,Transformation
WHITLOCK JR HIGH,SPARTANBURG,SC,SPARTANBURG 07,254323.00,Closure
WEST LEE ELEM,REMBERT,SC,LEE 01,698507.00,Transformation
ESTILL MIDDLE,ESTILL,SC,HAMPTON 02,503608.00,Transformation
N CHARLESTON HIGH,NORTH CHARLESTON,SC,CHARLESTON 01,756937.00,Transformation
ALLENDALE-FAIRFAX MIDDLE,FAIRFAX,SC,ALLENDALE 01,449430.00,Transformation
CARVER JR HIGH,SPARTANBURG,SC,SPARTANBURG 07,126267.00,Transformation
HARDEEVILLE MIDDLE/HIGH,HARDEEVILLE,SC,JASPER 01,579145.00,Transformation
CAROLINA HIGH,GREENVILLE,SC,GREENVILLE 01,905959.00,Transformation
MORNINGSIDE MIDDLE,NORTH CHARLESTON,SC,CHARLESTON 01,712019.00,Transformation
FAIRFAX ELEM,FAIRFAX,SC,ALLENDALE 01,411971.00,Transformation
C A JOHNSON PREPATORY ACAD,COLUMBIA,SC,RICHLAND 01,717125.00,Transformation
SITTING BULL SCHOOL,LITTLE EAGLE,SD,SITTING BULL SCHOOL,,Transformation
FAMILY IMMERSION CENTER MIDDLE - 53,SIOUX FALLS,SD,SIOUX FALLS SCHOOL DISTRICT 49-5,168131.00,Turnaround
NEW UNDERWOOD HIGH SCHOOL - 01,NEW UNDERWOOD,SD,NEW UNDERWOOD SCHOOL DISTRICT 51-3,362759.00,Transformation
NORTHSIDE HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,267249.00,Turnaround
HAMILTON HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,274487.00,Transformation
HOWARD ACADEMY OF ACADEMICS TECHNOLOGY,CHATTANOOGA,TN,HAMILTON COUNTY SCHOOL DISTRCT,629999.00,Turnaround
TREZEVANT HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,306934.00,Transformation
FRAYSER MIDDLE/ HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,248250.00,Transformation
HIXSON HIGH SCHOOL,HIXSON,TN,HAMILTON COUNTY SCHOOL DISTRCT,620296.00,Transformation
SHEFFIELD HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,376370.00,Turnaround
MANASSAS HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,269863.00,Turnaround
MOUNT PLEASANT HIGH SCHOOL,MT PLEASANT,TN,MAURY COUNTY SCHOOL DISTRICT,736026.00,Transformation
RALEIGH EGYPT MIDDLE SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,103092.00,Turnaround
KINGSBURY MIDDLE/HIGH SCHOOL,MEMPHIS,TN,MEMPHIS CITY SCHOOL DISTRICT,259513.00,Transformation
AUSTIN EAST HIGH/MAGNET SCHOOL,KNOXVILLE,TN,KNOX COUNTY SCHOOL DISTRICT,905629.00,Turnaround
SUNSET H S,EL PASO,TX,EL PASO ISD,,Transformation
SOUTHWEST PREPARATORY SCHOOL-NORTHWEST,SAN ANTONIO,TX,SOUTHWEST PREPARATORY SCHOOL,,Transformation
NORTH FOREST H S,HOUSTON,TX,NORTH FOREST ISD,,Transformation
FRANKLIN D ROOSEVELT HIGH SCHOOL,DALLAS,TX,DALLAS ISD,,Transformation
JUAREZ-LINCOLN H S,LA JOYA,TX,LA JOYA ISD,,Transformation
JOHN H WOOD JR CS GRANBURY,GRANBURY,TX,JOHN H WOOD JR PUBLIC CHARTER DISTRICT,,Transformation
REAGAN H S,AUSTIN,TX,AUSTIN ISD,,Transformation
SENTRY TECHNOLOGY PREP SCH,BROWNSVILLE,TX,ONE STOP MULTISERVICE CHARTER SCHOOL,,Transformation
LEE H S,HOUSTON,TX,HOUSTON ISD,,Transformation
GEORGE I SANCHEZ CHARTER H S SAN ANTONIO BRANCH,SAN ANTONIO,TX,GEORGE I SANCHEZ CHARTER HS SAN ANTONIO BRANCH,,Transformation
FLORESVILLE CHOICE PROGRAM,FLORESVILLE,TX,FLORESVILLE ISD,,Turnaround
MID-VALLEY ACADEMY,MERCEDES,TX,MID-VALLEY ACADEMY,,Transformation
PROFIT MAGNET HIGH SCHOOL,VICTORIA,TX,VICTORIA ISD,,Transformation
SOUTHWEST PREPARATORY SOUTHEAST CAMPUS,SAN ANTONIO,TX,SOUTHWEST PREPARATORY SCHOOL,,Transformation
MERCEDES ACADEMIC ACADEMY,MERCEDES,TX,MERCEDES ISD,,Transformation
STARR ACADEMY,BOYS RANCH,TX,BOYS RANCH ISD,,Transformation
JOHN H WOOD JR CHARTER SCHOOL AT AFTON OAKS,SAN ANTONIO,TX,JOHN H WOOD JR PUBLIC CHARTER DISTRICT,,Transformation
H M KING HIGH SCHOOL,KINGSVILLE,TX,KINGSVILLE ISD,,Transformation
ALICE H S,ALICE,TX,ALICE ISD,,Transformation
ONE STOP MULTISERVICE,WESLACO,TX,ONE STOP MULTISERVICE CHARTER SCHOOL,,Transformation
KASHMERE H S,HOUSTON,TX,HOUSTON ISD,,Transformation
SOUTH PLAINS ACADEMY,LUBBOCK,TX,SOUTH PLAINS,,Transformation
TELLES ACADEMY,EL PASO,TX,EL PASO ISD,,Transformation
PASO DEL NORTE ACADEMY,EL PASO,TX,PASO DEL NORTE,,Transformation
HOUSTON H S,SAN ANTONIO,TX,SAN ANTONIO ISD,,Transformation
JUVENILE DETENTION CTR,EDINBURG,TX,EDINBURG CISD,,Transformation
SOUTHWEST PREPARATORY SCHOOL,SAN ANTONIO,TX,SOUTHWEST PREPARATORY SCHOOL,,Transformation
ESTACADO H S,LUBBOCK,TX,LUBBOCK ISD,,Transformation
PAUL A BROWN ALTERNATIVE CENTER,BEAUMONT,TX,BEAUMONT ISD,,Transformation
RAVEN SCHOOL,NEW WAVERLY,TX,RAVEN SCHOOL,,Transformation
NEW ASPIRATIONS,HOUSTON,TX,HOUSTON ISD,,Transformation
AZLEWAY CHARTER SCHOOL PINE MOUNTAIN,PALESTINE,TX,AZLEWAY CHARTER SCHOOL,,Turnaround
GEORGE I SANCHEZ H S,HOUSTON,TX,GEORGE I SANCHEZ CHARTER,,Transformation
JONES H S,HOUSTON,TX,HOUSTON ISD,,Transformation
MID-VALLEY ACADEMY (9-12),SAN BENITO,TX,MID-VALLEY ACADEMY,,Transformation
SCHOOL-AGE PARENT CTR,EL PASO,TX,EL PASO ISD,,Transformation
FOCUS LEARNING ACADEMY,DALLAS,TX,FOCUS LEARNING ACADEMY,,Transformation
FOX TECHNICAL H S,SAN ANTONIO,TX,SAN ANTONIO ISD,,Transformation
H GRADY SPRUCE H S,DALLAS,TX,DALLAS ISD,,Transformation
POSITIVE SOLUTIONS CHARTER,SAN ANTONIO,TX,POSITIVE SOLUTIONS CHARTER SCHOOL,,Transformation
LA JOYA PALMVIEW H S,LA JOYA,TX,LA JOYA ISD,,Transformation
TRAVIS H S,AUSTIN,TX,AUSTIN ISD,,Transformation
CHILDREN OF THE SUN,RIO GRANDE CITY,TX,ONE STOP MULTISERVICE CHARTER SCHOOL,,Transformation
SHARPSTOWN H S,HOUSTON,TX,HOUSTON ISD,,Transformation
AZLEWAY CHARTER SCHOOL,TYLER,TX,AZLEWAY CHARTER SCHOOL,,Transformation
ACADEMY HIGH SCHOOL,BUDA,TX,HAYS CISD,,Transformation
CONTEMPORARY LRN CTR H S,HOUSTON,TX,HOUSTON ISD,,Transformation
MID-VALLEY ACADEMY-MCALLEN,MCALLEN,TX,MID-VALLEY ACADEMY,,Transformation
ODYSSEY ELEMENTARY,OGDEN,UT,OGDEN DISTRICT,549444.00,Transformation
BLUFF SCHOOL,BLUFF,UT,SAN JUAN DISTRICT,278779.00,Transformation
JAMES MADISON ELEMENTARY,OGDEN,UT,OGDEN DISTRICT,549444.00,Transformation
NORTHWEST MIDDLE,SALT LAKE CITY,UT,SALT LAKE DISTRICT,806790.00,Transformation
DEE SCHOOL,OGDEN,UT,OGDEN DISTRICT,549444.00,Transformation
GLENDALE MIDDLE,SALT LAKE CITY,UT,SALT LAKE DISTRICT,806790.00,Transformation
GRANGER HIGH,WEST VALLEY CITY,UT,GRANITE DISTRICT,710934.00,Transformation
FRED D. THOMPSON MIDDLE,RICHMOND,VA,RICHMOND CITY PBLC SCHS,501500.00,Transformation
LAKE TAYLOR MIDDLE,NORFOLK,VA,NORFOLK CITY PBLC SCHS,135251.00,Transformation
FRIES MIDDLE,FRIES,VA,GRAYSON CO PBLC SCHS,500000.00,Transformation
T.C. WILLIAMS HIGH,ALEXANDRIA,VA,ALEXANDRIA CITY PBLC SCHS,2.00,Transformation
WESTSIDE ELEM.,ROANOKE,VA,ROANOKE CITY PBLC SCHS,580100.00,Transformation
PRINCE EDWARD COUNTY HIGH,FARMVILLE,VA,PRINCE EDWARD CO PBLC SCHS,499586.00,Transformation
CENTRAL HIGH,KING AND QUEEN C H,VA,KING AND QUEEN CO PBLC SCHS,685661.00,Transformation
LANGSTON FOCUS SCHOOL,DANVILLE,VA,DANVILLE CITY PBLC SCHS,946198.00,Restart
ARMSTRONG HIGH,RICHMOND,VA,RICHMOND CITY PBLC SCHS,859600.00,Restart
PEABODY MIDDLE,PETERSBURG,VA,PETERSBURG CITY PBLC SCHS,460723.00,Transformation
