School Name,City,State,District Name,2010/11/Award Amount,Model Selected
DR. RAMON E. BETANCES SCHOOL,HARTFORD,CT,HARTFORD SCHOOL DISTRICT,400000.00,Turnaround
STAMFORD ACADEMY,STAMFORD,CT,STAMFORD ACADEMY,400000.00,Transformation
JAMES HILLHOUSE HIGH SCHOOL,NEW HAVEN,CT,NEW HAVEN SCHOOL DISTRICT,700000.00,Transformation
MILNER SCHOOL,HARTFORD,CT,HARTFORD SCHOOL DISTRICT,430569.00,Turnaround
HARDING HIGH SCHOOL,BRIDGEPORT,CT,BRIDGEPORT SCHOOL DISTRICT,800000.00,Restart
NATCHAUG SCHOOL,WILLIMANTIC,CT,WINDHAM SCHOOL DISTRICT,700000.00,Transformation
HILL CENTRAL MUSIC ACADEMY,NEW HAVEN,CT,NEW HAVEN SCHOOL DISTRICT,590000.00,Turnaround
SAND SCHOOL,HARTFORD,CT,HARTFORD SCHOOL DISTRICT,400000.00,Turnaround
BASSICK HIGH SCHOOL,BRIDGEPORT,CT,BRIDGEPORT SCHOOL DISTRICT,700000.00,Transformation
WILBUR CROSS HIGH SCHOOL,NEW HAVEN,CT,NEW HAVEN SCHOOL DISTRICT,700000.00,Transformation
SMALLEY ACADEMY,NEW BRITAIN,CT,NEW BRITAIN SCHOOL DISTRICT,700000.00,Transformation
ANACOSTIA SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,517340.00,Restart
BROWNE EC,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,445400.00,Transformation
DUNBAR SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,517340.00,Restart
HAMILTON CENTER SPEC ED AT HAMILTON SCHOOL,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,330050.00,Turnaround
SPINGARN SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,619950.00,Transformation
EASTERN SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,189350.00,Turnaround
LUKE C. MOORE ACADEMY SHS,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,552658.00,Turnaround
PROSPECT LC,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,180700.00,Transformation
OPTIONS PCS,DISTRICT OF COLUMBIA,DC,OPTIONS PCS,541226.00,Turnaround
KENILWORTH ES,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,305325.00,Restart
SEAFORD SENIOR HIGH SCHOOL,SEAFORD,DE,SEAFORD SCHOOL DISTRICT,630295.00,Transformation
MOUNT PLEASANT HIGH SCHOOL,WILMINGTON,DE,BRANDYWINE SCHOOL DISTRICT,672921.00,Transformation
LITTLE RIVER ELEMENTARY SCHOOL,MIAMI,FL,DADE,394739.00,Transformation
HARDEE SENIOR HIGH SCHOOL,WAUCHULA,FL,HARDEE,733198.00,Transformation
MIAMI SOUTHRIDGE SENIOR HIGH,MIAMI,FL,DADE,115447.00,Turnaround
POINCIANA HIGH SCHOOL,KISSIMMEE,FL,OSCEOLA,660025.00,Transformation
EAST GADSDEN HIGH SCHOOL,HAVANA,FL,GADSDEN,737977.00,Transformation
COLUMBIA HIGH SCHOOL,LAKE CITY,FL,COLUMBIA,759293.00,Transformation
MIAMI JACKSON SENIOR HIGH SCHOOL,MIAMI,FL,DADE,816787.00,Transformation
MEMORIAL MIDDLE SCHOOL,ORLANDO,FL,ORANGE,652558.00,Transformation
LARKDALE ELEMENTARY SCHOOL,FORT LAUDERDALE,FL,BROWARD,713746.00,Transformation
EDWARD H. WHITE HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,759293.00,Transformation
ST. JOHNS TECHNICAL HIGH SCHOOL,ST AUGUSTINE,FL,ST. JOHNS,728868.00,Transformation
HOMESTEAD SENIOR HIGH SCHOOL,HOMESTEAD,FL,DADE,845263.00,Transformation
LEESBURG HIGH SCHOOL,LEESBURG,FL,LAKE,734298.00,Transformation
CHARLES W. DUVAL ELEMENTARY SCHOOL,GAINESVILLE,FL,ALACHUA,759293.00,Transformation
SMART POPE LIVINGSTON ELEMENTARY,JACKSONVILLE,FL,DUVAL,500000.00,Transformation
DIXIE M. HOLLINS HIGH SCHOOL,ST PETERSBURG,FL,PINELLAS,500000.00,Transformation
DR. HENRY W. MACK/WEST LITTLE RIVER ELEMENTARY SCH,MIAMI,FL,DADE,258108.00,Transformation
CENTRAL HIGH SCHOOL,BROOKSVILLE,FL,HERNANDO,737052.00,Transformation
NORTH SHORE K-8,JACKSONVILLE,FL,DUVAL,711587.00,Turnaround
GLADES CENTRAL HIGH SCHOOL,BELLE GLADE,FL,PALM BEACH,666136.00,Transformation
NORTH MIAMI SENIOR HIGH SCHOOL,NORTH MIAMI,FL,DADE,108015.00,Transformation
GATEWAY HIGH SCHOOL,KISSIMMEE,FL,OSCEOLA,660025.00,Transformation
EDEN PARK ELEMENTARY SCHOOL,IMMOKALEE,FL,COLLIER,617334.00,Transformation
WEST GADSDEN HIGH SCHOOL,GREENSBORO,FL,GADSDEN,737977.00,Transformation
MIAMI EDISON SENIOR HIGH SCHOOL,MIAMI,FL,DADE,618351.00,Turnaround
MADISON COUNTY HIGH SCHOOL,MADISON,FL,MADISON,515138.00,Transformation
SUNLAND PARK ELEMENTARY SCHOOL,FORT LAUDERDALE,FL,BROWARD,713746.00,Transformation
NATHAN B. FORREST HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,759293.00,Transformation
OSCAR J. POPE ELEMENTARY SCHOOL,LAKELAND,FL,POLK,736088.00,Transformation
NORTH MIAMI MIDDLE SCHOOL,NORTH MIAMI,FL,DADE,440823.00,Transformation
JEFFERSON COUNTY MIDDLE/HIGH SCHOOL,MONTICELLO,FL,JEFFERSON,647552.00,Transformation
LONG BRANCH ELEMENTARY SCHOOL,JACKSONVILLE,FL,DUVAL,500000.00,Turnaround
BOCA CIEGA HIGH SCHOOL,GULFPORT,FL,PINELLAS,500000.00,Transformation
PINE VILLA ELEMENTARY SCHOOL,MIAMI,FL,DADE,267620.00,Transformation
HERNANDO HIGH SCHOOL,BROOKSVILLE,FL,HERNANDO,737052.00,Transformation
ANDREW JACKSON HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,636816.00,Turnaround
LAKE WORTH HIGH SCHOOL,LAKE WORTH,FL,PALM BEACH,10496.00,Transformation
HOLMES ELEMENTARY SCHOOL,MIAMI,FL,DADE,276644.00,Transformation
HAMILTON COUNTY HIGH SCHOOL,JASPER,FL,HAMILTON,698427.00,Transformation
OAK RIDGE HIGH SCHOOL,ORLANDO,FL,ORANGE,652965.00,Transformation
MIAMI NORTHWESTERN SENIOR HIGH,MIAMI,FL,DADE,796553.00,Turnaround
IMMOKALEE HIGH SCHOOL,IMMOKALEE,FL,COLLIER,567148.00,Transformation
WARRINGTON MIDDLE SCHOOL,PENSACOLA,FL,ESCAMBIA,759293.00,Turnaround
MIAMI CENTRAL SENIOR HIGH SCHOOL,MIAMI,FL,DADE,784700.00,Turnaround
WILLISTON HIGH SCHOOL,WILLISTON,FL,LEVY,651787.00,Transformation
MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,GAINESVILLE,FL,ALACHUA,627776.00,Transformation
WILLIAM M. RAINES HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,676989.00,Turnaround
LAKEWOOD HIGH SCHOOL,ST PETERSBURG,FL,PINELLAS,500000.00,Transformation
MIAMI EDISON MIDDLE SCHOOL,MIAMI,FL,DADE,407497.00,Turnaround
MIDDLETON HIGH SCHOOL,TAMPA,FL,HILLSBOROUGH,759293.00,Transformation
JEAN RIBAULT HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,713451.00,Turnaround
RIDGEWOOD HIGH SCHOOL,NEW PORT RICHEY,FL,PASCO,759293.00,Transformation
NORTH COUNTY ELEMENTARY SCHOOL,MIAMI GARDENS,FL,DADE,251911.00,Turnaround
CLEWISTON HIGH SCHOOL,CLEWISTON,FL,HENDRY,759293.00,Transformation
BOOKER T. WASHINGTON SENIOR HIGH,MIAMI,FL,DADE,644329.00,Turnaround
CELEBRATION HIGH SCHOOL,CELEBRATION,FL,OSCEOLA,660025.00,Transformation
FREDERICK R. DOUGLASS ELEMENTARY,MIAMI,FL,DADE,344819.00,Turnaround
CENTRAL HAMILTON ELEMENTARY SCHOOL,JASPER,FL,HAMILTON,518789.00,Transformation
EVANS HIGH SCHOOL,ORLANDO,FL,ORANGE,652792.00,Transformation
MIAMI NORLAND SENIOR HIGH SCHOOL,MIAMI,FL,DADE,742472.00,Turnaround
COCONUT CREEK HIGH SCHOOL,COCONUT CREEK,FL,BROWARD,713746.00,Transformation
A. PHILIP RANDOLPH ACADEMIES,JACKSONVILLE,FL,DUVAL,697645.00,Transformation
MIAMI CAROL CITY SENIOR HIGH,OPA-LOCKA,FL,DADE,997322.00,Transformation
AMOS P. GODBY HIGH SCHOOL,TALLAHASSEE,FL,LEON,628602.00,Transformation
HAWTHORNE MIDDLE/HIGH SCHOOL,HAWTHORNE,FL,ALACHUA,635832.00,Transformation
NORTHWESTERN MIDDLE SCHOOL,JACKSONVILLE,FL,DUVAL,500000.00,Transformation
GIBBS HIGH SCHOOL,ST PETERSBURG,FL,PINELLAS,500000.00,Transformation
CHARLES R. DREW MIDDLE SCHOOL,MIAMI,FL,DADE,369914.00,Turnaround
FRANKLIN MIDDLE MAGNET SCHOOL,TAMPA,FL,HILLSBOROUGH,759293.00,Transformation
PAXON MIDDLE SCHOOL,JACKSONVILLE,FL,DUVAL,633527.00,Turnaround
ROSENWALD ELEMENTARY SCHOOL,SOUTH BAY,FL,PALM BEACH,506738.00,Transformation
BURKE COUNTY HIGH SCHOOL,WAYNESBORO,GA,BURKE COUNTY,115158.00,Transformation
WILLIAM S. HUTCHINGS CAREER CENTER,MACON,GA,BIBB COUNTY,955121.00,Transformation
LANEY HIGH SCHOOL,AUGUSTA,GA,RICHMOND COUNTY,115976.00,Turnaround
